> 5m - 10m,2016-09-20,TCSERVER04,WalletHandler,117788,4.3616768764
> 10m - 15m,2016-09-20,TCSERVER04,WalletHandler,39542,1.4642359752
> 15m - 20m,2016-09-20,TCSERVER04,WalletHandler,172461,6.3862121420
> 20m - 30m,2016-09-20,TCSERVER04,WalletHandler,301513,11.1649937179
> 30m,2016-09-20,TCSERVER04,WalletHandler,1346501,49.8607861224
TOTAL,2016-09-20,TCSERVER04,WalletHandler,2700521,100
< 1m,2016-09-20,TCSERVER05,ADCBuddyhandler,2817307,25.9797407768
> 1m - 2m,2016-09-20,TCSERVER05,ADCBuddyhandler,1008201,9.2971055802
> 2m - 3m,2016-09-20,TCSERVER05,ADCBuddyhandler,748897,6.9059388730
> 3m - 5m,2016-09-20,TCSERVER05,ADCBuddyhandler,796236,7.3424745252
> 5m - 10m,2016-09-20,TCSERVER05,ADCBuddyhandler,993068,9.1575569200
> 10m - 15m,2016-09-20,TCSERVER05,ADCBuddyhandler,802313,7.3985134605
> 15m - 20m,2016-09-20,TCSERVER05,ADCBuddyhandler,598576,5.5197567447
> 20m - 30m,2016-09-20,TCSERVER05,ADCBuddyhandler,839808,7.7442728614
> 30m,2016-09-20,TCSERVER05,ADCBuddyhandler,2239840,20.6546402581
TOTAL,2016-09-20,TCSERVER05,ADCBuddyhandler,10844246,100
< 1m,2016-09-20,TCSERVER05,ADCTNThandler,3200602,46.2926155471
> 1m - 2m,2016-09-20,TCSERVER05,ADCTNThandler,1600629,23.1510518741
> 2m - 3m,2016-09-20,TCSERVER05,ADCTNThandler,915070,13.2353175148
> 3m - 5m,2016-09-20,TCSERVER05,ADCTNThandler,733252,10.6055526226
> 5m - 10m,2016-09-20,TCSERVER05,ADCTNThandler,464297,6.7154624413
> 10m - 15m,2016-09-20,TCSERVER05,ADCTNThandler,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER05,ADCTNThandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER05,ADCTNThandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER05,ADCTNThandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER05,ADCTNThandler,6913850,100
< 1m,2016-09-20,TCSERVER05,CDRAdapter,15063939,77.3800908090
> 1m - 2m,2016-09-20,TCSERVER05,CDRAdapter,4403522,22.6199091910
> 2m - 3m,2016-09-20,TCSERVER05,CDRAdapter,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER05,CDRAdapter,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER05,CDRAdapter,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER05,CDRAdapter,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER05,CDRAdapter,0,0.0000000000
